time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-03 00:00:00+00:00,1,1,0,0
2026-06-04 00:00:00+00:00,9,3,4,2
2026-06-05 00:00:00+00:00,30,15,0,0
2026-06-06 00:00:00+00:00,17,7,0,0
2026-06-07 00:00:00+00:00,23,9,0,0
2026-06-08 00:00:00+00:00,19,9,1,1
2026-06-09 00:00:00+00:00,16,6,0,0
2026-06-10 00:00:00+00:00,5,5,0,0
2026-06-11 00:00:00+00:00,21,8,0,0
2026-06-12 00:00:00+00:00,34,14,0,0
2026-06-13 00:00:00+00:00,19,6,0,0
2026-06-14 00:00:00+00:00,37,10,0,0
2026-06-15 00:00:00+00:00,35,11,1,1
2026-06-16 00:00:00+00:00,15,5,0,0
